event,event_utc,event_la,year,event_la_date,event_desc
Winter Solstice,2019-12-22T04:00:00Z,2019-12-22T04:00:00Z,2019,2019-12-21,The longest night of the year.
Spring Equinox,2020-03-20T04:00:00Z,2020-03-20T04:00:00Z,2020,2020-03-19,Day and night are approximately equal.
Summer Solstice,2020-06-20T22:00:00Z,2020-06-20T22:00:00Z,2020,2020-06-20,The longest day of the year.
Autumn Equinox,2020-09-22T14:00:00Z,2020-09-22T14:00:00Z,2020,2020-09-22,Day and night are approximately equal.
Winter Solstice,2020-12-21T10:00:00Z,2020-12-21T10:00:00Z,2020,2020-12-21,The longest night of the year.
Spring Equinox,2021-03-20T10:00:00Z,2021-03-20T10:00:00Z,2021,2021-03-20,Day and night are approximately equal.
Summer Solstice,2021-06-21T04:00:00Z,2021-06-21T04:00:00Z,2021,2021-06-20,The longest day of the year.
Autumn Equinox,2021-09-22T19:00:00Z,2021-09-22T19:00:00Z,2021,2021-09-22,Day and night are approximately equal.
Winter Solstice,2021-12-21T16:00:00Z,2021-12-21T16:00:00Z,2021,2021-12-21,The longest night of the year.
Spring Equinox,2022-03-20T16:00:00Z,2022-03-20T16:00:00Z,2022,2022-03-20,Day and night are approximately equal.
Summer Solstice,2022-06-21T09:00:00Z,2022-06-21T09:00:00Z,2022,2022-06-21,The longest day of the year.
Autumn Equinox,2022-09-23T01:00:00Z,2022-09-23T01:00:00Z,2022,2022-09-22,Day and night are approximately equal.
Winter Solstice,2022-12-21T22:00:00Z,2022-12-21T22:00:00Z,2022,2022-12-21,The longest night of the year.
Spring Equinox,2023-03-20T21:00:00Z,2023-03-20T21:00:00Z,2023,2023-03-20,Day and night are approximately equal.
Summer Solstice,2023-06-21T15:00:00Z,2023-06-21T15:00:00Z,2023,2023-06-21,The longest day of the year.
Autumn Equinox,2023-09-23T07:00:00Z,2023-09-23T07:00:00Z,2023,2023-09-23,Day and night are approximately equal.
Winter Solstice,2023-12-22T03:00:00Z,2023-12-22T03:00:00Z,2023,2023-12-21,The longest night of the year.
Spring Equinox,2024-03-20T03:00:00Z,2024-03-20T03:00:00Z,2024,2024-03-19,Day and night are approximately equal.
Summer Solstice,2024-06-20T21:00:00Z,2024-06-20T21:00:00Z,2024,2024-06-20,The longest day of the year.
Autumn Equinox,2024-09-22T13:00:00Z,2024-09-22T13:00:00Z,2024,2024-09-22,Day and night are approximately equal.
Winter Solstice,2024-12-21T09:00:00Z,2024-12-21T09:00:00Z,2024,2024-12-21,The longest night of the year.
Spring Equinox,2025-03-20T09:00:00Z,2025-03-20T09:00:00Z,2025,2025-03-20,Day and night are approximately equal.
Summer Solstice,2025-06-21T03:00:00Z,2025-06-21T03:00:00Z,2025,2025-06-20,The longest day of the year.
Autumn Equinox,2025-09-22T18:00:00Z,2025-09-22T18:00:00Z,2025,2025-09-22,Day and night are approximately equal.
Winter Solstice,2025-12-21T15:00:00Z,2025-12-21T15:00:00Z,2025,2025-12-21,The longest night of the year.
Spring Equinox,2026-03-20T15:00:00Z,2026-03-20T15:00:00Z,2026,2026-03-20,Day and night are approximately equal.
Summer Solstice,2026-06-21T08:00:00Z,2026-06-21T08:00:00Z,2026,2026-06-21,The longest day of the year.
Autumn Equinox,2026-09-23T00:00:00Z,2026-09-23T00:00:00Z,2026,2026-09-22,Day and night are approximately equal.
Winter Solstice,2026-12-21T21:00:00Z,2026-12-21T21:00:00Z,2026,2026-12-21,The longest night of the year.
Spring Equinox,2027-03-20T20:00:00Z,2027-03-20T20:00:00Z,2027,2027-03-20,Day and night are approximately equal.
Summer Solstice,2027-06-21T14:00:00Z,2027-06-21T14:00:00Z,2027,2027-06-21,The longest day of the year.
Autumn Equinox,2027-09-23T06:00:00Z,2027-09-23T06:00:00Z,2027,2027-09-22,Day and night are approximately equal.
Winter Solstice,2027-12-22T03:00:00Z,2027-12-22T03:00:00Z,2027,2027-12-21,The longest night of the year.
Spring Equinox,2028-03-20T02:00:00Z,2028-03-20T02:00:00Z,2028,2028-03-19,Day and night are approximately equal.
Summer Solstice,2028-06-20T20:00:00Z,2028-06-20T20:00:00Z,2028,2028-06-20,The longest day of the year.
Autumn Equinox,2028-09-22T12:00:00Z,2028-09-22T12:00:00Z,2028,2028-09-22,Day and night are approximately equal.
Winter Solstice,2028-12-21T08:00:00Z,2028-12-21T08:00:00Z,2028,2028-12-21,The longest night of the year.
Spring Equinox,2029-03-20T08:00:00Z,2029-03-20T08:00:00Z,2029,2029-03-20,Day and night are approximately equal.
Summer Solstice,2029-06-21T02:00:00Z,2029-06-21T02:00:00Z,2029,2029-06-20,The longest day of the year.
Autumn Equinox,2029-09-22T18:00:00Z,2029-09-22T18:00:00Z,2029,2029-09-22,Day and night are approximately equal.
Winter Solstice,2029-12-21T14:00:00Z,2029-12-21T14:00:00Z,2029,2029-12-21,The longest night of the year.
Spring Equinox,2030-03-20T14:00:00Z,2030-03-20T14:00:00Z,2030,2030-03-20,Day and night are approximately equal.
Summer Solstice,2030-06-21T08:00:00Z,2030-06-21T08:00:00Z,2030,2030-06-21,The longest day of the year.
Autumn Equinox,2030-09-22T23:00:00Z,2030-09-22T23:00:00Z,2030,2030-09-22,Day and night are approximately equal.
Winter Solstice,2030-12-21T20:00:00Z,2030-12-21T20:00:00Z,2030,2030-12-21,The longest night of the year.
Spring Equinox,2031-03-20T20:00:00Z,2031-03-20T20:00:00Z,2031,2031-03-20,Day and night are approximately equal.
Summer Solstice,2031-06-21T13:00:00Z,2031-06-21T13:00:00Z,2031,2031-06-21,The longest day of the year.
Autumn Equinox,2031-09-23T05:00:00Z,2031-09-23T05:00:00Z,2031,2031-09-22,Day and night are approximately equal.
Winter Solstice,2031-12-22T02:00:00Z,2031-12-22T02:00:00Z,2031,2031-12-21,The longest night of the year.
