"","year","shower_name","active_start","peak_date","active_end","active_date_label","peak_date_label","zhr","intensity"
"62",2005,"Draconids",2005-10-06,2005-10-08,2005-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"63",2005,"Eta Aquariids",2005-04-19,2005-05-06,2005-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"64",2005,"Geminids",2005-12-04,2005-12-14,2005-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"65",2005,"Leonids",2005-11-06,2005-11-17,2005-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"66",2005,"Lyrids",2005-04-15,2005-04-22,2005-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"67",2005,"Northern Taurids",2005-10-13,2005-11-12,2005-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"68",2005,"Orionids",2005-10-02,2005-10-22,2005-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"69",2005,"Perseids",2005-07-17,2005-08-12,2005-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"70",2005,"Quadrantids",2005-01-01,2005-01-03,2005-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"71",2005,"Southern Taurids",2005-09-23,2005-10-10,2005-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"72",2005,"Ursids",2005-12-17,2005-12-22,2005-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"73",2006,"Delta Aquariids",2006-07-12,2006-07-30,2006-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"74",2006,"Draconids",2006-10-06,2006-10-08,2006-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"75",2006,"Eta Aquariids",2006-04-19,2006-05-06,2006-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"76",2006,"Geminids",2006-12-04,2006-12-14,2006-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"77",2006,"Leonids",2006-11-06,2006-11-17,2006-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"78",2006,"Lyrids",2006-04-15,2006-04-22,2006-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"79",2006,"Northern Taurids",2006-10-13,2006-11-12,2006-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
