catalog_number,date_la,time_la,delta_t_s,luna_num,saros_num,eclipse_type,qle,gamma,eclipse_mag,latitude,longitude,sun_alt_deg,path_width_km,central_duration_s,eclipse_type_long,eclipse_desc,distance_to_ca_km,eclipse_visibility_ca,central_duration_text
09626,2053-09-12,02:34:09,100,664,145,T,n-,0.314,1.0328,21,42,72,116,184,Total,The Moon completely covers the Sun.,13300.911525981342,Not Visible in California,3m 4s
09627,2054-03-09,05:33:40,101,670,150,P,t-,-1.1711,0.6678,-72,98,0,NA,NA,Partial,The Moon partially covers the Sun.,15566.8014289136,Not Visible in California,NA
09628,2054-08-03,11:04:02,102,675,117,Pe,-t,-1.4941,0.0655,-70,-121,0,NA,NA,Partial,The Moon partially covers the Sun.,11873.90015563496,Not Visible in California,NA
09629,2054-09-01,18:09:34,102,676,155,P,t-,1.0215,0.9793,72,-82,0,NA,NA,Partial,The Moon partially covers the Sun.,4448.285367106969,Partially Visible in California,NA
09630,2055-01-27,09:54:05,103,681,122,P,-t,1.155,0.6932,70,-112,0,NA,NA,Partial,The Moon partially covers the Sun.,3720.660149988762,Partially Visible in California,NA
09631,2055-07-24,02:57:50,104,687,127,T,-p,-0.8012,1.0359,-33,26,37,202,197,Total,The Moon completely covers the Sun.,16850.335259985546,Not Visible in California,3m 17s
09632,2056-01-16,14:16:45,105,693,132,A,-n,0.4199,0.9759,4,-154,65,95,172,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",5071.070154330392,Not Visible in California,2m 52s
09633,2056-07-12,13:21:59,106,699,137,A,nn,-0.0426,0.9878,19,-124,88,43,86,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",2026.7528556105353,Partially Visible in California,1m 26s
09634,2057-01-05,01:47:52,107,705,142,T,n-,-0.2837,1.0287,-39,35,73,102,149,Total,The Moon completely covers the Sun.,17764.043136755947,Not Visible in California,2m 29s
09635,2057-07-01,16:40:15,108,711,147,A,p-,0.7455,0.9464,71,-176,41,298,262,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",4980.218400682093,Partially Visible in California,4m 22s
09636,2057-12-25,17:14:35,109,717,152,T,p-,-0.9405,1.0348,-85,22,19,355,110,Total,The Moon completely covers the Sun.,14524.053287159008,Not Visible in California,1m 50s
09637,2058-05-22,03:39:25,110,722,119,P,-t,-1.3194,0.4141,-64,61,0,NA,NA,Partial,The Moon partially covers the Sun.,16988.041787769504,Not Visible in California,NA
09638,2058-06-20,17:19:35,110,723,157,Pb,t-,1.4869,0.126,66,10,0,NA,NA,Partial,The Moon partially covers the Sun.,7796.674196862364,Not Visible in California,NA
09639,2058-11-15,19:23:07,111,728,124,P,-t,1.1224,0.7644,63,174,0,NA,NA,Partial,The Moon partially covers the Sun.,5261.061873407161,Partially Visible in California,NA
09640,2059-05-11,12:22:16,112,734,129,T,-p,-0.508,1.0242,-11,-100,59,95,143,Total,The Moon completely covers the Sun.,5687.660894067798,Not Visible in California,2m 23s
09641,2059-11-05,01:18:15,113,740,134,A,-p,0.4454,0.9417,9,47,63,238,420,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",14730.93346943436,Not Visible in California,7m 0s
09642,2060-04-30,03:10:00,114,746,139,T,n-,0.2422,1.066,28,21,76,222,315,Total,The Moon completely covers the Sun.,11709.458104629837,Not Visible in California,5m 15s
09643,2060-10-24,02:24:10,115,752,144,A,nn,-0.2625,0.9277,-26,28,75,281,486,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",16718.12861367148,Not Visible in California,8m 6s
09644,2061-04-19,19:56:49,116,758,149,T,t-,0.9578,1.0475,65,59,16,559,157,Total,The Moon completely covers the Sun.,8697.016388438844,Not Visible in California,2m 37s
09645,2061-10-13,03:32:10,117,764,154,A,t-,-0.9639,0.9469,-62,-54,15,743,221,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",12437.390410976834,Not Visible in California,3m 41s
09646,2062-03-10,20:26:16,118,769,121,P,-t,-1.0238,0.9331,-61,-147,0,NA,NA,Partial,The Moon partially covers the Sun.,11157.192939896584,Not Visible in California,NA
09647,2062-09-03,01:54:27,119,775,126,P,-t,1.0191,0.9749,61,150,0,NA,NA,Partial,The Moon partially covers the Sun.,6525.737071053403,Partially Visible in California,NA
09648,2063-02-27,23:43:30,120,781,131,A,-p,-0.336,0.9293,-25,78,70,280,461,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",17905.138760274356,Not Visible in California,7m 41s
09649,2063-08-23,18:22:11,121,787,136,T,-n,0.2771,1.075,26,168,74,252,349,Total,The Moon completely covers the Sun.,6832.716333155905,Not Visible in California,5m 49s
09650,2064-02-16,23:00:23,122,793,141,A,p-,0.3597,0.9262,7,70,69,295,536,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",15049.269847070671,Not Visible in California,8m 56s
09651,2064-08-12,10:46:06,123,799,146,T,p-,-0.4652,1.0495,-11,-96,62,184,268,Total,The Moon completely covers the Sun.,5849.952666144128,Not Visible in California,4m 28s
09652,2065-02-05,01:52:26,124,805,151,P,t-,1.0336,0.9123,62,-22,0,NA,NA,Partial,The Moon partially covers the Sun.,6817.207635520911,Partially Visible in California,NA
09653,2065-07-03,10:33:52,125,810,118,P,-t,1.4619,0.1638,65,72,0,NA,NA,Partial,The Moon partially covers the Sun.,8654.22665793637,Not Visible in California,NA
09654,2065-08-01,22:34:17,125,811,156,P,t-,-1.2759,0.4903,-63,47,0,NA,NA,Partial,The Moon partially covers the Sun.,16956.00137997942,Not Visible in California,NA
09655,2065-12-27,00:39:56,126,816,123,P,-t,-1.0688,0.8769,-65,-149,0,NA,NA,Partial,The Moon partially covers the Sun.,11605.850456737879,Not Visible in California,NA
09656,2066-06-22,12:25:48,127,822,128,A,-p,0.733,0.9435,70,-96,43,309,280,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",3948.7720239465352,Partially Visible in California,4m 40s
09657,2066-12-16,16:23:40,128,828,133,T,-n,-0.4043,1.0416,-47,176,66,152,194,Total,The Moon completely covers the Sun.,11312.610899629362,Not Visible in California,3m 14s
09658,2067-06-11,13:42:26,129,834,138,A,nn,-0.0387,0.967,21,-130,88,119,245,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",2031.2470565969122,Partially Visible in California,4m 5s
09659,2067-12-06,06:03:43,130,840,143,H,n-,0.2845,1.0011,-6,-32,74,4,8,Hybrid,A rare eclipse that appears total in some locations and annular in others.,10177.650839928545,Not Visible in California,0m 8s
